# Reference      Predicted      Error          
-0.03267        -0.03008        0.00259        
-0.00247        -0.00236        0.00011        
0.00515         0.00432         0.00083        
0.02999         0.02962         0.00037        
-0.06227        -0.06042        0.00185        
-0.00394        -0.00137        0.00258        
0.00109         0.00310         0.00200        
0.06512         0.06370         0.00142        
-0.00566        -0.00685        0.00120        
0.00034         0.00174         0.00140        
0.00142         0.00031         0.00111        
0.00390         0.00098         0.00291        
0.05229         0.05308         0.00079        
0.00387         0.00132         0.00256        
-0.00256        -0.00261        0.00005        
-0.05360        -0.05458        0.00098        
-0.04043        -0.03751        0.00292        
-0.00290        -0.00404        0.00114        
0.00655         0.00616         0.00040        
0.03678         0.03700         0.00022        
0.25506         0.24635         0.00870        
-0.00453        0.00003         0.00455        
0.00150         0.00176         0.00026        
-0.25203        -0.24166        0.01038        
-0.00598        -0.00741        0.00142        
0.00028         0.00054         0.00026        
0.00180         -0.00080        0.00260        
0.00391         0.00077         0.00313        
0.07372         0.07299         0.00073        
0.00498         0.00386         0.00111        
-0.00349        -0.00350        0.00001        
-0.07520        -0.07709        0.00189        
-0.04789        -0.04535        0.00254        
-0.00325        -0.00227        0.00098        
0.00803         0.00828         0.00025        
0.04311         0.04350         0.00038        
0.00000         0.00137         0.00137        
0.00000         0.00235         0.00235        
0.00000         0.00248         0.00248        
0.00000         0.00124         0.00124        
0.00000         0.00137         0.00137        
0.00000         0.00235         0.00235        
0.00000         0.00248         0.00248        
0.00000         0.00124         0.00124        
0.00000         -0.00137        0.00137        
0.00000         -0.00235        0.00235        
0.00000         -0.00248        0.00248        
0.00000         -0.00124        0.00124        
0.00000         -0.00137        0.00137        
0.00000         -0.00235        0.00235        
0.00000         -0.00248        0.00248        
0.00000         -0.00124        0.00124        
-0.00401        -0.00415        0.00014        
-0.00095        0.00065         0.00160        
0.00000         0.00146         0.00145        
0.00496         0.00521         0.00025        
-0.00128        -0.00008        0.00120        
0.00014         0.00196         0.00182        
0.00024         0.00111         0.00087        
0.00091         0.00221         0.00131        
0.00314         0.00287         0.00027        
0.00059         -0.00144        0.00203        
-0.00024        -0.00167        0.00144        
-0.00349        -0.00329        0.00020        
-0.00529        -0.00686        0.00157        
-0.00073        -0.00137        0.00064        
0.00124         -0.00049        0.00173        
0.00478         0.00388         0.00090        
-0.01261        -0.01400        0.00138        
-0.00181        -0.00030        0.00151        
0.00015         0.00026         0.00011        
0.01428         0.01268         0.00159        
-0.00228        -0.00167        0.00061        
0.00024         0.00150         0.00126        
0.00050         0.00016         0.00034        
0.00153         0.00322         0.00169        
0.00762         0.00888         0.00126        
0.00126         -0.00065        0.00190        
-0.00061        -0.00058        0.00003        
-0.00826        -0.00695        0.00131        
-0.01058        -0.01209        0.00152        
-0.00139        -0.00069        0.00069        
0.00251         0.00115         0.00136        
0.00946         0.00907         0.00038        
-0.02890        -0.03026        0.00136        
-0.00259        -0.00241        0.00019        
0.00040         -0.00050        0.00090        
0.03109         0.03022         0.00087        
-0.00303        -0.00294        0.00009        
0.00032         0.00160         0.00129        
0.00078         0.00209         0.00131        
0.00194         0.00357         0.00163        
0.01382         0.01467         0.00086        
0.00202         0.00175         0.00027        
-0.00112        0.00012         0.00123        
-0.01471        -0.01420        0.00051        
-0.01582        -0.01695        0.00113        
-0.00197        -0.00308        0.00111        
0.00381         0.00249         0.00132        
0.01398         0.01382         0.00015        
-0.05616        -0.06144        0.00528        
-0.00330        -0.00409        0.00079        
0.00072         -0.00081        0.00153        
0.05874         0.05732         0.00142        
-0.00359        -0.00392        0.00033        
0.00035         0.00198         0.00163        
0.00108         0.00294         0.00186        
0.00216         0.00394         0.00178        
0.02222         0.02562         0.00340        
0.00289         0.00371         0.00083        
-0.00177        -0.00081        0.00096        
-0.02334        -0.02002        0.00332        
-0.02096        -0.02160        0.00064        
-0.00247        -0.00480        0.00233        
0.00515         0.00396         0.00119        
0.01828         0.01803         0.00026        
-0.09102        -0.09612        0.00511        
-0.00394        -0.00576        0.00182        
0.00109         -0.00022        0.00131        
0.09387         0.09058         0.00329        
-0.00399        -0.00424        0.00025        
0.00034         0.00133         0.00099        
0.00142         0.00122         0.00020        
0.00223         0.00382         0.00159        
0.03340         0.03930         0.00590        
0.00387         0.00549         0.00162        
-0.00256        -0.00220        0.00036        
-0.03471        -0.03159        0.00312        
-0.02598        -0.02624        0.00026        
-0.00290        -0.00298        0.00009        
0.00655         0.00623         0.00032        
0.02232         0.02139         0.00092        
-0.08900        -0.09132        0.00232        
-0.00453        -0.00630        0.00177        
0.00150         -0.00001        0.00151        
0.09202         0.09455         0.00253        
-0.00427        -0.00398        0.00029        
0.00028         -0.00065        0.00093        
0.00180         0.00197         0.00018        
0.00219         0.00293         0.00074        
0.04800         0.05043         0.00243        
0.00498         0.00600         0.00102        
-0.00349        -0.00300        0.00049        
-0.04948        -0.05052        0.00104        
-0.03081        -0.03067        0.00014        
-0.00325        -0.00217        0.00108        
0.00803         0.00838         0.00035        
0.02603         0.02436         0.00167        
0.00000         -0.00089        0.00089        
0.00000         0.00020         0.00020        
0.00000         0.00028         0.00028        
0.00000         -0.00097        0.00097        
0.00000         -0.00089        0.00089        
0.00000         0.00020         0.00020        
0.00000         0.00028         0.00028        
0.00000         -0.00097        0.00097        
0.00000         0.00089         0.00089        
0.00000         -0.00020        0.00020        
0.00000         -0.00028        0.00028        
0.00000         0.00097         0.00097        
0.00000         0.00089         0.00089        
0.00000         -0.00020        0.00020        
0.00000         -0.00028        0.00028        
0.00000         0.00097         0.00097        
-0.00236        -0.00155        0.00081        
-0.00095        -0.00268        0.00173        
0.00000         -0.00128        0.00128        
0.00331         0.00363         0.00032        
-0.00090        -0.00228        0.00137        
0.00014         -0.00057        0.00071        
0.00024         0.00141         0.00117        
0.00053         -0.00030        0.00083        
0.00194         0.00126         0.00068        
0.00059         0.00231         0.00172        
-0.00024        0.00117         0.00140        
-0.00229        -0.00280        0.00051        
-0.00343        -0.00303        0.00040        
-0.00073        -0.00182        0.00109        
0.00124         0.00210         0.00086        
0.00292         0.00445         0.00153        
-0.00765        -0.00857        0.00091        
-0.00181        -0.00346        0.00165        
0.00015         -0.00212        0.00227        
0.00931         0.00812         0.00119        
-0.00162        -0.00320        0.00158        
0.00024         -0.00132        0.00156        
0.00050         0.00236         0.00186        
0.00088         0.00037         0.00051        
0.00472         0.00523         0.00051        
0.00126         0.00294         0.00168        
-0.00061        0.00156         0.00217        
-0.00536        -0.00358        0.00178        
-0.00686        -0.00667        0.00020        
-0.00139        -0.00308        0.00170        
0.00251         0.00397         0.00146        
0.00574         0.00745         0.00171        
-0.01799        -0.01866        0.00066        
-0.00259        -0.00450        0.00191        
0.00040         -0.00146        0.00185        
0.02019         0.01827         0.00191        
-0.00218        -0.00364        0.00146        
0.00032         -0.00105        0.00136        
0.00078         0.00198         0.00121        
0.00109         0.00055         0.00053        
0.00858         0.00950         0.00092        
0.00202         0.00431         0.00229        
-0.00112        0.00040         0.00152        
-0.00948        -0.00770        0.00178        
-0.01027        -0.01011        0.00016        
-0.00197        -0.00296        0.00099        
0.00381         0.00513         0.00132        
0.00843         0.00991         0.00148        
-0.03664        -0.03570        0.00094        
-0.00330        -0.00437        0.00107        
0.00072         -0.00003        0.00075        
0.03922         0.03891         0.00031        
-0.00261        -0.00370        0.00109        
0.00035         -0.00019        0.00054        
0.00108         0.00038         0.00070        
0.00118         0.00079         0.00038        
0.01385         0.01297         0.00087        
0.00289         0.00467         0.00178        
-0.00177        -0.00126        0.00050        
-0.01497        -0.01505        0.00008        
-0.01362        -0.01351        0.00012        
-0.00247        -0.00176        0.00071        
0.00515         0.00594         0.00079        
0.01094         0.01192         0.00098        
-0.06713        -0.06750        0.00036        
-0.00394        -0.00432        0.00038        
0.00109         0.00118         0.00009        
0.06998         0.06877         0.00122        
-0.00293        -0.00370        0.00077        
0.00034         0.00045         0.00011        
0.00142         0.00112         0.00031        
0.00117         0.00099         0.00018        
0.02090         0.02042         0.00048        
0.00387         0.00487         0.00100        
-0.00256        -0.00224        0.00032        
-0.02221        -0.02120        0.00101        
-0.01690        -0.01692        0.00002        
-0.00290        -0.00293        0.00003        
0.00655         0.00712         0.00057        
0.01324         0.01387         0.00063        
-0.10693        -0.10729        0.00037        
-0.00453        -0.00518        0.00066        
0.00150         0.00126         0.00024        
0.10995         0.10895         0.00100        
-0.00317        -0.00370        0.00053        
0.00028         0.00055         0.00027        
0.00180         0.00126         0.00054        
0.00109         0.00060         0.00049        
0.03021         0.03114         0.00093        
0.00498         0.00557         0.00060        
-0.00349        -0.00418        0.00069        
-0.03169        -0.03031        0.00138        
-0.02007        -0.02025        0.00018        
-0.00325        -0.00331        0.00007        
0.00803         0.00913         0.00110        
0.01529         0.01576         0.00048        
0.00000         -0.00076        0.00076        
0.00000         -0.00123        0.00123        
0.00000         -0.00130        0.00130        
0.00000         -0.00069        0.00069        
0.00000         -0.00076        0.00076        
0.00000         -0.00123        0.00123        
0.00000         -0.00130        0.00130        
0.00000         -0.00069        0.00069        
0.00000         0.00076         0.00076        
0.00000         0.00123         0.00123        
0.00000         0.00130         0.00130        
0.00000         0.00069         0.00069        
0.00000         0.00076         0.00076        
0.00000         0.00123         0.00123        
0.00000         0.00130         0.00130        
0.00000         0.00069         0.00069        
-0.00133        -0.00075        0.00058        
-0.00095        -0.00214        0.00119        
0.00000         -0.00056        0.00057        
0.00228         0.00269         0.00041        
-0.00066        -0.00189        0.00122        
0.00014         -0.00111        0.00125        
0.00024         -0.00137        0.00161        
0.00029         -0.00037        0.00066        
0.00118         0.00074         0.00044        
0.00059         0.00160         0.00101        
-0.00024        0.00033         0.00057        
-0.00153        -0.00192        0.00039        
-0.00226        -0.00143        0.00083        
-0.00073        0.00117         0.00190        
0.00124         0.00229         0.00105        
0.00175         0.00272         0.00098        
-0.00453        -0.00415        0.00038        
-0.00181        -0.00216        0.00035        
0.00015         0.00016         0.00001        
0.00619         0.00603         0.00016        
-0.00120        -0.00271        0.00151        
0.00024         -0.00121        0.00145        
0.00050         -0.00035        0.00085        
0.00046         0.00012         0.00034        
0.00290         0.00238         0.00052        
0.00126         0.00151         0.00025        
-0.00061        -0.00043        0.00018        
-0.00355        -0.00336        0.00018        
-0.00452        -0.00347        0.00105        
-0.00139        0.00008         0.00146        
0.00251         0.00311         0.00060        
0.00340         0.00446         0.00106        
-0.01094        -0.01266        0.00172        
-0.00259        -0.00269        0.00010        
0.00040         0.00025         0.00014        
0.01314         0.01122         0.00192        
-0.00163        -0.00317        0.00154        
0.00032         -0.00118        0.00149        
0.00078         0.00073         0.00005        
0.00054         0.00022         0.00032        
0.00531         0.00652         0.00121        
0.00202         0.00215         0.00014        
-0.00112        -0.00077        0.00035        
-0.00620        -0.00398        0.00223        
-0.00677        -0.00544        0.00134        
