# Reference      Predicted      Error          #atoms         
-0.12637        -0.12630        0.00007         16.00000       
-0.12973        -0.12953        0.00019         16.00000       
-0.13005        -0.12934        0.00071         16.00000       
-0.12689        -0.12627        0.00061         16.00000       
-0.12501        -0.12470        0.00031         16.00000       
-0.12428        -0.12385        0.00043         16.00000       
-0.12460        -0.12440        0.00020         16.00000       
-0.12589        -0.12587        0.00002         16.00000       
-0.12840        -0.12826        0.00014         16.00000       
# MSE = 1.30930E-04
# Maxerror = 1.34952E-01
