# Reference      Predicted      Error          
-0.03267        -0.00000        0.03267        
-0.00247        -0.00000        0.00247        
0.00515         -0.00000        0.00515        
0.02999         0.00000         0.02999        
-0.06227        0.00000         0.06227        
-0.00394        0.00000         0.00394        
0.00109         0.00000         0.00109        
0.06512         -0.00000        0.06512        
-0.00566        0.00000         0.00566        
0.00034         0.00000         0.00034        
0.00142         -0.00000        0.00142        
0.00390         -0.00000        0.00390        
0.05229         -0.00000        0.05229        
0.00387         0.00000         0.00387        
-0.00256        -0.00000        0.00256        
-0.05360        -0.00000        0.05360        
-0.04043        -0.00000        0.04043        
-0.00290        -0.00000        0.00290        
0.00655         0.00000         0.00655        
0.03678         0.00000         0.03678        
0.25506         0.23668         0.01838        
-0.00453        0.00000         0.00453        
0.00150         0.00000         0.00150        
-0.25203        -0.23668        0.01536        
-0.00598        0.00000         0.00598        
0.00028         0.00000         0.00028        
0.00180         -0.00000        0.00180        
0.00391         -0.00000        0.00391        
0.07372         -0.00000        0.07372        
0.00498         0.00000         0.00498        
-0.00349        -0.00000        0.00349        
-0.07520        -0.00000        0.07520        
-0.04789        -0.00000        0.04789        
-0.00325        -0.00000        0.00325        
0.00803         0.00000         0.00803        
0.04311         0.00000         0.04311        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
-0.00401        0.00000         0.00401        
-0.00095        -0.00000        0.00095        
0.00000         0.00000         0.00000        
0.00496         -0.00000        0.00496        
-0.00128        0.00000         0.00128        
0.00014         0.00000         0.00014        
0.00024         0.00000         0.00024        
0.00091         -0.00000        0.00091        
0.00314         -0.00000        0.00314        
0.00059         0.00000         0.00059        
-0.00024        -0.00000        0.00024        
-0.00349        0.00000         0.00349        
-0.00529        -0.00000        0.00529        
-0.00073        -0.00000        0.00073        
0.00124         -0.00000        0.00124        
0.00478         0.00000         0.00478        
-0.01261        0.00000         0.01261        
-0.00181        -0.00000        0.00181        
0.00015         0.00000         0.00015        
0.01428         -0.00000        0.01428        
-0.00228        0.00000         0.00228        
0.00024         0.00000         0.00024        
0.00050         0.00000         0.00050        
0.00153         -0.00000        0.00153        
0.00762         -0.00000        0.00762        
0.00126         0.00000         0.00126        
-0.00061        -0.00000        0.00061        
-0.00826        0.00000         0.00826        
-0.01058        -0.00000        0.01058        
-0.00139        -0.00000        0.00139        
0.00251         0.00000         0.00251        
0.00946         0.00000         0.00946        
-0.02890        0.00000         0.02890        
-0.00259        -0.00000        0.00259        
0.00040         0.00000         0.00040        
0.03109         0.00000         0.03109        
-0.00303        0.00000         0.00303        
0.00032         0.00000         0.00032        
0.00078         -0.00000        0.00078        
0.00194         -0.00000        0.00194        
0.01382         -0.00000        0.01382        
0.00202         0.00000         0.00202        
-0.00112        -0.00000        0.00112        
-0.01471        -0.00000        0.01471        
-0.01582        -0.00000        0.01582        
-0.00197        -0.00000        0.00197        
0.00381         0.00000         0.00381        
0.01398         0.00000         0.01398        
-0.05616        0.00000         0.05616        
-0.00330        -0.00000        0.00330        
0.00072         0.00000         0.00072        
0.05874         0.00000         0.05874        
-0.00359        0.00000         0.00359        
0.00035         0.00000         0.00035        
0.00108         -0.00000        0.00108        
0.00216         -0.00000        0.00216        
0.02222         -0.00000        0.02222        
0.00289         0.00000         0.00289        
-0.00177        -0.00000        0.00177        
-0.02334        -0.00000        0.02334        
-0.02096        -0.00000        0.02096        
-0.00247        -0.00000        0.00247        
0.00515         0.00000         0.00515        
0.01828         0.00000         0.01828        
-0.09102        0.00000         0.09102        
-0.00394        -0.00000        0.00394        
0.00109         0.00000         0.00109        
0.09387         0.00000         0.09387        
-0.00399        0.00000         0.00399        
0.00034         0.00000         0.00034        
0.00142         -0.00000        0.00142        
0.00223         -0.00000        0.00223        
0.03340         -0.00000        0.03340        
0.00387         0.00000         0.00387        
-0.00256        -0.00000        0.00256        
-0.03471        -0.00000        0.03471        
-0.02598        -0.00000        0.02598        
-0.00290        -0.00000        0.00290        
0.00655         0.00000         0.00655        
0.02232         0.00000         0.02232        
-0.08900        0.00000         0.08900        
-0.00453        -0.00000        0.00453        
0.00150         0.00000         0.00150        
0.09202         -0.00000        0.09202        
-0.00427        0.00000         0.00427        
0.00028         0.00000         0.00028        
0.00180         -0.00000        0.00180        
0.00219         -0.00000        0.00219        
0.04800         -0.00000        0.04800        
0.00498         0.00000         0.00498        
-0.00349        -0.00000        0.00349        
-0.04948        -0.00000        0.04948        
-0.03081        -0.00000        0.03081        
-0.00325        -0.00000        0.00325        
0.00803         0.00000         0.00803        
0.02603         0.00000         0.02603        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
-0.00236        -0.00000        0.00236        
