# Reference      Predicted      Error          #atoms         
-0.12505        -0.12464        0.00041         16.00000       
-0.12663        -0.12619        0.00044         16.00000       
-0.12947        -0.12931        0.00016         16.00000       
-0.13403        -0.13400        0.00003         16.00000       
-0.14043        -0.14039        0.00004         16.00000       
-0.13005        -0.12939        0.00066         16.00000       
-0.12689        -0.12621        0.00068         16.00000       
-0.12501        -0.12432        0.00069         16.00000       
-0.12428        -0.12379        0.00049         16.00000       
-0.12523        -0.12472        0.00050         16.00000       
-0.12773        -0.12715        0.00058         16.00000       
-0.13142        -0.13115        0.00027         16.00000       
-0.13676        -0.13679        0.00003         16.00000       
-0.13005        -0.12937        0.00068         16.00000       
-0.12689        -0.12619        0.00070         16.00000       
-0.12501        -0.12430        0.00071         16.00000       
-0.12428        -0.12354        0.00074         16.00000       
-0.12460        -0.12400        0.00061         16.00000       
-0.12637        -0.12593        0.00044         16.00000       
-0.12973        -0.12935        0.00038         16.00000       
-0.13466        -0.13433        0.00032         16.00000       
-0.13005        -0.12935        0.00070         16.00000       
-0.12689        -0.12617        0.00071         16.00000       
-0.12501        -0.12428        0.00073         16.00000       
-0.12428        -0.12352        0.00076         16.00000       
-0.12460        -0.12380        0.00080         16.00000       
-0.12589        -0.12527        0.00062         16.00000       
-0.12840        -0.12821        0.00020         16.00000       
-0.13302        -0.13271        0.00030         16.00000       
# MSE = 1.57640E-05
# Maxerror = 3.57648E-02
