# Reference      Predicted      Error          
7.90880         7.84986         0.05894        
-7.09532        -7.02641        0.06891        
-3.00275        -2.95108        0.05167        
2.17446         2.14694         0.02753        
6.30030         6.26509         0.03521        
-2.85608        -2.90028        0.04420        
-8.07660        -8.23548        0.15888        
-3.90561        -3.97095        0.06534        
8.44487         8.39322         0.05165        
-6.69227        -6.65365        0.03862        
-4.39588        -4.36230        0.03359        
7.99480         8.15825         0.16345        
9.48678         9.57118         0.08440        
-1.27371        -1.26709        0.00662        
-14.59476       -14.59611       0.00135        
-11.07130       -11.09286       0.02156        
7.21195         7.18276         0.02920        
-6.69304        -6.72273        0.02969        
-6.28645        -6.27579        0.01066        
19.26388        19.20439        0.05949        
13.44343        13.56743        0.12400        
-4.65144        -4.70092        0.04948        
2.47841         2.50671         0.02829        
2.47841         2.50671         0.02829        
9.60443         9.65287         0.04844        
-9.60443        -9.65287        0.04844        
-2.47841        -2.50671        0.02829        
-2.47841        -2.50671        0.02829        
4.65144         4.70092         0.04948        
-4.36344        -4.42933        0.06589        
-1.53554        -1.41946        0.11608        
0.54870         0.55974         0.01104        
10.25666        10.15639        0.10027        
-9.23098        -9.15758        0.07340        
-3.45687        -3.46612        0.00925        
0.93784         0.91461         0.02323        
6.84364         6.84175         0.00188        
-3.78655        -3.85728        0.07073        
-6.08220        -6.06226        0.01994        
-3.13021        -3.21572        0.08552        
12.24645        12.22857        0.01788        
-9.16966        -9.16016        0.00951        
-4.97146        -4.86092        0.11054        
5.21175         5.20007         0.01168        
9.68189         9.72770         0.04582        
-2.17164        -2.27423        0.10260        
-11.66803       -11.62114       0.04689        
-10.25190       -10.39749       0.14560        
14.21881        14.27707        0.05826        
-9.64785        -9.76095        0.11310        
-7.01185        -6.93612        0.07574        
13.22787        13.22230        0.00557        
13.30460        13.49057        0.18597        
-5.34163        -5.39650        0.05487        
2.76787         2.75729         0.01058        
2.76787         2.75729         0.01058        
10.86883        10.80479        0.06404        
-10.86883       -10.80479       0.06404        
-2.76787        -2.75729        0.01058        
-2.76787        -2.75729        0.01058        
5.34163         5.39650         0.05487        
-5.00706        -5.04400        0.03694        
-0.68791        -0.68073        0.00719        
0.97530         0.87800         0.09729        
11.79844        11.75914        0.03930        
-10.59553       -10.52549       0.07003        
-3.76847        -3.63429        0.13417        
0.16828         0.09565         0.07263        
7.11695         7.15172         0.03477        
-4.36543        -4.42481        0.05938        
-4.62380        -4.54358        0.08022        
-2.62920        -2.64244        0.01324        
14.75355        14.89161        0.13806        
-10.77505       -10.83500       0.05994        
-5.33858        -5.25113        0.08745        
3.34591         3.12387         0.22205        
9.63261         9.68149         0.04888        
-2.73847        -2.82316        0.08469        
-9.45518        -9.37600        0.07918        
-9.65777        -9.92910        0.27133        
19.04572        19.14234        0.09662        
-11.62038       -11.92500       0.30462        
-7.53913        -7.56187        0.02273        
9.02305         9.42910         0.40606        
12.94216        13.04368        0.10152        
23.78107        23.76585        0.01522        
-13.59053       -13.63538       0.04485        
-13.59053       -13.63538       0.04485        
-50.94953       -50.99495       0.04542        
50.94953        50.99495        0.04542        
13.59053        13.63538        0.04485        
13.59053        13.63538        0.04485        
-23.78107       -23.76585       0.01522        
24.93993        24.86819        0.07174        
-28.26584       -28.25765       0.00819        
-17.00107       -17.12432       0.12326        
-60.10704       -60.34744       0.24040        
55.10985        54.82636        0.28349        
10.04351        10.09665        0.05314        
34.20732        34.49445        0.28712        
-18.92666       -18.55623       0.37043        
26.28871        26.08897        0.19975        
-44.72139       -44.50650       0.21489        
-21.01682       -21.19379       0.17698        
-92.96802       -91.47731       1.49071        
62.51983        63.03724        0.51741        
8.38189         8.28598         0.09591        
77.24985        76.34420        0.90565        
-15.73406       -16.57878       0.84472        
14.31804        14.30357        0.01447        
-8.18983        -8.16135        0.02848        
-8.18983        -8.16135        0.02848        
-30.69246       -30.58816       0.10430        
30.69246        30.58816        0.10430        
8.18983         8.16135         0.02848        
8.18983         8.16135         0.02848        
-14.31804       -14.30357       0.01447        
15.02420        14.94189        0.08231        
-20.14067       -20.07827       0.06239        
-11.39995       -11.52403       0.12408        
-36.69146       -36.33662       0.35485        
33.66989        33.73331        0.06343        
5.69868         5.81963         0.12095        
23.30104        23.01754        0.28351        
-9.46174        -9.57345        0.11171        
15.96505        15.91119        0.05387        
-33.57409       -33.52890       0.04520        
-15.55600       -15.31068       0.24532        
-58.14978       -59.87345       1.72367        
38.76705        38.44005        0.32700        
4.30663         4.06919         0.23743        
53.69222        55.48890        1.79669        
-5.45108        -5.19630        0.25477        
7.73950         7.79853         0.05903        
-4.41471        -4.43401        0.01930        
-4.41471        -4.43401        0.01930        
-16.56741       -16.61893       0.05152        
16.56741        16.61893        0.05152        
4.41471         4.43401         0.01930        
4.41471         4.43401         0.01930        
-7.73950        -7.79853        0.05903        
8.18233         8.19519         0.01286        
-14.21629       -14.33012       0.11382        
