# Reference      Predicted      Error          #atoms         
-0.04300        -0.04440        0.00140         4.00000        
-0.04185        -0.04328        0.00143         4.00000        
-0.04085        -0.04217        0.00132         4.00000        
-0.03975        -0.04107        0.00132         4.00000        
-0.03882        -0.03996        0.00114         4.00000        
-0.03786        -0.03885        0.00099         4.00000        
-0.03765        -0.03775        0.00010         4.00000        
-0.03654        -0.03664        0.00010         4.00000        
-0.03561        -0.03554        0.00007         4.00000        
-0.03464        -0.03444        0.00020         4.00000        
-0.03371        -0.03334        0.00037         4.00000        
-0.03270        -0.03224        0.00046         4.00000        
-0.03170        -0.03114        0.00056         4.00000        
-0.03071        -0.03004        0.00067         4.00000        
-0.02981        -0.02895        0.00086         4.00000        
-0.02900        -0.02785        0.00115         4.00000        
-0.02808        -0.02676        0.00132         4.00000        
-0.02722        -0.02567        0.00155         4.00000        
-0.02635        -0.02457        0.00178         4.00000        
-0.02556        -0.02348        0.00208         4.00000        
-0.02474        -0.02239        0.00235         4.00000        
-0.02397        -0.02131        0.00266         4.00000        
-0.02318        -0.02022        0.00296         4.00000        
-0.02244        -0.01913        0.00331         4.00000        
-0.02175        -0.01805        0.00370         4.00000        
-0.02191        -0.01696        0.00495         4.00000        
-0.02117        -0.01588        0.00529         4.00000        
-0.02039        -0.01480        0.00559         4.00000        
-0.01972        -0.01372        0.00600         4.00000        
-0.01903        -0.01264        0.00639         4.00000        
-0.01842        -0.01156        0.00686         4.00000        
-0.01769        -0.01049        0.00720         4.00000        
-0.01704        -0.00941        0.00763         4.00000        
-0.01639        -0.00841        0.00798         4.00000        
-0.01581        -0.00761        0.00820         4.00000        
-0.01516        -0.00719        0.00797         4.00000        
-0.01456        -0.00715        0.00741         4.00000        
-0.01405        -0.00715        0.00690         4.00000        
-0.01345        -0.00715        0.00630         4.00000        
-0.01300        -0.00715        0.00585         4.00000        
-0.01244        -0.00715        0.00529         4.00000        
-0.01189        -0.00715        0.00474         4.00000        
-0.01142        -0.00715        0.00427         4.00000        
-0.01103        -0.00715        0.00388         4.00000        
-0.01138        -0.00715        0.00423         4.00000        
-0.01101        -0.00715        0.00386         4.00000        
-0.01053        -0.00715        0.00338         4.00000        
-0.01012        -0.00715        0.00297         4.00000        
-0.00973        -0.00715        0.00258         4.00000        
-0.00934        -0.00715        0.00219         4.00000        
-0.00896        -0.00715        0.00181         4.00000        
-0.00852        -0.00715        0.00137         4.00000        
-0.00814        -0.00715        0.00099         4.00000        
-0.00772        -0.00715        0.00057         4.00000        
-0.00737        -0.00715        0.00022         4.00000        
-0.00694        -0.00715        0.00021         4.00000        
-0.00653        -0.00715        0.00062         4.00000        
-0.00616        -0.00715        0.00099         4.00000        
-0.00588        -0.00715        0.00127         4.00000        
-0.00546        -0.00715        0.00169         4.00000        
-0.00513        -0.00715        0.00202         4.00000        
-0.00482        -0.00715        0.00233         4.00000        
-0.00448        -0.00715        0.00267         4.00000        
-0.00420        -0.00715        0.00295         4.00000        
-0.00387        -0.00715        0.00328         4.00000        
-0.00357        -0.00715        0.00358         4.00000        
-0.00322        -0.00715        0.00393         4.00000        
-0.00300        -0.00715        0.00415         4.00000        
-0.00271        -0.00715        0.00444         4.00000        
-0.00244        -0.00715        0.00471         4.00000        
-0.00221        -0.00715        0.00494         4.00000        
-0.00196        -0.00715        0.00519         4.00000        
-0.00172        -0.00715        0.00543         4.00000        
-0.00175        -0.00715        0.00540         4.00000        
-0.00144        -0.00715        0.00571         4.00000        
-0.00123        -0.00715        0.00592         4.00000        
-0.00099        -0.00715        0.00616         4.00000        
-0.00077        -0.00715        0.00638         4.00000        
-0.00053        -0.00715        0.00662         4.00000        
-0.00037        -0.00715        0.00678         4.00000        
-0.00016        -0.00715        0.00699         4.00000        
0.00007         -0.00715        0.00722         4.00000        
-0.00064        -0.00715        0.00651         4.00000        
-0.00040        -0.00715        0.00675         4.00000        
-0.00026        -0.00715        0.00689         4.00000        
-0.00014        -0.00715        0.00701         4.00000        
0.00000         -0.00715        0.00715         4.00000        
# MSE = 7.72899E-06
# Maxerror = 8.19732E-03
