# Reference      Predicted      Error          #atoms         
-195.77020      -195.87823      0.10804         64.00000       
-195.14824      -195.39885      0.25061         64.00000       
-195.13995      -195.21603      0.07608         64.00000       
-193.68472      -193.62003      0.06468         64.00000       
-196.22341      -196.17883      0.04458         64.00000       
-197.21659      -196.89856      0.31803         64.00000       
-192.88404      -193.00039      0.11635         64.00000       
-195.76302      -195.80789      0.04487         64.00000       
-193.48329      -193.87861      0.39532         64.00000       
-196.59108      -196.33016      0.26092         64.00000       
-195.83079      -195.86973      0.03894         64.00000       
-197.21964      -196.78092      0.43871         64.00000       
-194.89227      -195.12447      0.23220         64.00000       
-194.62218      -194.33153      0.29065         64.00000       
-196.47107      -196.30468      0.16639         64.00000       
-197.37355      -197.15242      0.22114         64.00000       
-194.53626      -194.53668      0.00042         64.00000       
-197.61188      -197.57139      0.04049         64.00000       
-193.26416      -193.19321      0.07096         64.00000       
-194.78586      -194.73947      0.04639         64.00000       
-195.70523      -195.93733      0.23211         64.00000       
-195.89639      -195.65920      0.23719         64.00000       
-197.39050      -197.02363      0.36687         64.00000       
-195.71346      -195.85926      0.14580         64.00000       
-195.31717      -195.38125      0.06408         64.00000       
-197.35114      -196.86584      0.48530         64.00000       
-194.36471      -194.87493      0.51023         64.00000       
-195.77927      -195.59696      0.18231         64.00000       
-194.72305      -194.60677      0.11628         64.00000       
-192.76653      -192.93068      0.16415         64.00000       
-193.61918      -193.68070      0.06152         64.00000       
-195.16453      -194.77961      0.38492         64.00000       
-196.20669      -196.10969      0.09700         64.00000       
-193.63202      -193.84713      0.21511         64.00000       
-193.89658      -194.27680      0.38022         64.00000       
-192.98007      -193.29589      0.31582         64.00000       
-194.41476      -194.68686      0.27210         64.00000       
-195.36624      -195.25486      0.11138         64.00000       
-194.80572      -194.53215      0.27357         64.00000       
-196.40381      -196.23660      0.16721         64.00000       
-195.66689      -195.50075      0.16614         64.00000       
-193.15311      -193.38719      0.23408         64.00000       
-194.41818      -194.53193      0.11375         64.00000       
-196.09670      -196.08311      0.01359         64.00000       
-196.73647      -196.72493      0.01154         64.00000       
-193.47050      -193.38150      0.08900         64.00000       
-195.39163      -195.42809      0.03645         64.00000       
-195.14695      -195.00544      0.14150         64.00000       
-195.09921      -195.17389      0.07467         64.00000       
-195.89789      -195.90188      0.00400         64.00000       
-192.64185      -192.87118      0.22933         64.00000       
-195.06730      -194.99408      0.07322         64.00000       
-197.86909      -197.55885      0.31023         64.00000       
-194.39876      -194.40882      0.01007         64.00000       
-194.78148      -194.73687      0.04460         64.00000       
-196.15513      -196.33255      0.17742         64.00000       
-196.95364      -196.77191      0.18173         64.00000       
-194.77897      -194.57274      0.20623         64.00000       
-196.32303      -196.27817      0.04485         64.00000       
-197.13917      -197.36192      0.22275         64.00000       
-194.71653      -194.81189      0.09537         64.00000       
-194.95534      -194.94413      0.01122         64.00000       
-206.02106      -206.18000      0.15895         64.00000       
-207.45369      -207.19559      0.25810         64.00000       
-205.61307      -205.51902      0.09405         64.00000       
-198.82534      -198.89502      0.06967         64.00000       
-209.77764      -209.63450      0.14313         64.00000       
-208.01876      -207.97424      0.04452         64.00000       
-207.25536      -207.15046      0.10490         64.00000       
-210.35477      -210.16629      0.18848         64.00000       
-206.35299      -206.31077      0.04222         64.00000       
-201.59134      -201.76964      0.17831         64.00000       
-206.26690      -206.31096      0.04406         64.00000       
-204.96302      -204.98355      0.02054         64.00000       
-208.11417      -208.14702      0.03285         64.00000       
-207.34459      -207.26139      0.08319         64.00000       
-205.11285      -205.21158      0.09872         64.00000       
-210.36852      -210.16989      0.19862         64.00000       
-208.63312      -208.52082      0.11230         64.00000       
-197.51237      -197.58348      0.07111         64.00000       
-209.59922      -209.44552      0.15370         64.00000       
-206.63228      -206.53352      0.09876         64.00000       
-206.23133      -206.13956      0.09176         64.00000       
-205.72285      -205.75822      0.03537         64.00000       
-207.38918      -207.31796      0.07122         64.00000       
-200.50072      -200.60515      0.10443         64.00000       
-206.52875      -206.60058      0.07184         64.00000       
-206.63725      -206.71937      0.08212         64.00000       
-204.43214      -204.52243      0.09028         64.00000       
-200.76203      -200.75276      0.00928         64.00000       
-206.98236      -207.06171      0.07935         64.00000       
-202.42511      -202.79771      0.37260         64.00000       
-205.22322      -205.16449      0.05873         64.00000       
-210.63167      -210.36730      0.26438         64.00000       
-204.74845      -205.04119      0.29274         64.00000       
-209.03655      -209.17122      0.13467         64.00000       
-203.52840      -203.46553      0.06287         64.00000       
-209.28117      -209.04350      0.23767         64.00000       
-204.34128      -204.35291      0.01163         64.00000       
-203.80784      -203.98032      0.17248         64.00000       
-206.06066      -205.98326      0.07739         64.00000       
-201.80032      -201.85883      0.05850         64.00000       
-199.74987      -199.63442      0.11544         64.00000       
-207.96084      -207.87714      0.08371         64.00000       
-208.98266      -208.89887      0.08379         64.00000       
