# Reference      Predicted      Error          
-2352.38409     -2418.72782     66.34373       
-6689.45373     -6694.93419     5.48047        
-3399.30598     -3407.84720     8.54122        
-21134.92521    -21181.91151    46.98630       
35838.96411     36017.85299     178.88888      
21802.29310     21639.69092     162.60218      
33186.44790     32734.31183     452.13606      
4383.62612      4399.96977      16.34365       
12972.35577     12975.67787     3.32210        
732.52337       742.12186       9.59849        
-1094.32091     -1060.43177     33.88914       
-5460.68008     -5454.13820     6.54188        
35263.20705     35011.05625     252.15080      
-87.70889       -85.18038       2.52852        
2.26791         7.42526         5.15735        
-11062.40454    -11129.95153    67.54700       
-2949.61975     -3010.49501     60.87526       
-4570.97221     -4578.25434     7.28213        
-13265.95013    -13331.86565    65.91552       
-6331.90129     -6351.51315     19.61186       
1867.49149      1866.76465      0.72683        
902.76913       901.94840       0.82073        
905.00556       904.17160       0.83396        
-962.89216      -962.94010      0.04794        
902.76913       901.94840       0.82073        
-60.23445       -61.16428       0.92983        
-58.38343       -59.32258       0.93915        
-1926.74521     -1926.89201     0.14680        
905.00556       904.17160       0.83396        
-58.38343       -59.32258       0.93915        
-56.52990       -57.47511       0.94522        
-1924.57094     -1924.72852     0.15758        
-962.89216      -962.94010      0.04794        
-1926.74521     -1926.89201     0.14680        
-1924.57094     -1924.72852     0.15758        
-3798.16602     -3797.53040     0.63562        
1928.20666      1928.40122      0.19456        
962.79930       962.90033       0.10103        
964.89142       964.98519       0.09376        
1.02045         1.01804         0.00240        
962.79930       962.90033       0.10103        
-0.84835        -0.84972        0.00137        
0.92789         0.91626         0.01163        
-962.93074      -963.03799      0.10725        
964.89142       964.98519       0.09376        
0.92789         0.91626         0.01163        
2.70549         2.68480         0.02069        
-960.82802      -960.94278      0.11476        
1.02045         1.01804         0.00240        
-962.93074      -963.03799      0.10725        
-960.82802      -960.94278      0.11476        
-1926.14966     -1926.35896     0.20930        
1926.14966      1926.35896      0.20930        
960.82802       960.94278       0.11476        
962.93074       963.03799       0.10725        
-1.02045        -1.01804        0.00240        
960.82802       960.94278       0.11476        
-2.70549        -2.68480        0.02069        
-0.92789        -0.91626        0.01163        
-964.89142      -964.98519      0.09376        
962.93074       963.03799       0.10725        
-0.92789        -0.91626        0.01163        
0.84835         0.84972         0.00137        
-962.79930      -962.90033      0.10103        
-1.02045        -1.01804        0.00240        
-964.89142      -964.98519      0.09376        
-962.79930      -962.90033      0.10103        
-1928.20666     -1928.40122     0.19456        
3798.16602      3797.53040      0.63562        
1924.57094      1924.72852      0.15758        
1926.74521      1926.89201      0.14680        
962.89216       962.94010       0.04794        
1924.57094      1924.72852      0.15758        
