# Reference      Predicted      Error          
-0.08012        -0.14436        0.06424        
-0.07685        -0.07694        0.00009        
0.12306         0.16476         0.04170        
-0.04861        -0.04816        0.00045        
0.22222         0.21417         0.00805        
0.16112         0.15768         0.00344        
-0.20247        -0.15388        0.04859        
-0.03365        -0.03196        0.00168        
0.17622         0.16458         0.01163        
0.06827         0.06548         0.00279        
-0.19352        -0.20543        0.01191        
0.23943         0.23588         0.00355        
-0.21539        -0.23234        0.01695        
0.02813         0.02823         0.00010        
-0.21100        -0.23057        0.01957        
0.02813         0.02823         0.00010        
-0.21100        -0.23057        0.01957        
-0.02813        -0.02823        0.00010        
0.21100         0.23057         0.01957        
-0.02813        -0.02823        0.00010        
0.21100         0.23057         0.01957        
-0.01705        -0.01800        0.00095        
-0.26516        -0.29195        0.02679        
-0.04216        -0.04236        0.00020        
-0.20979        -0.22051        0.01071        
0.03503         0.03595         0.00092        
0.24784         0.25589         0.00804        
0.00361         0.00464         0.00103        
0.24769         0.27635         0.02866        
0.05486         0.05670         0.00184        
-0.32335        -0.31588        0.00747        
0.02735         0.02864         0.00129        
-0.29491        -0.28295        0.01197        
-0.09886        -0.10057        0.00170        
0.35836         0.35346         0.00491        
0.03522         0.03371         0.00151        
0.24134         0.22689         0.01445        
0.32010         0.32379         0.00369        
-0.26058        -0.26063        0.00005        
0.20661         0.21091         0.00430        
-0.28171        -0.26923        0.01248        
-0.03290        -0.03540        0.00251        
0.24102         0.22593         0.01509        
-0.31304        -0.31158        0.00146        
0.12050         0.11621         0.00428        
-0.09514        -0.08943        0.00571        
-0.06147        -0.06890        0.00742        
0.10459         0.10609         0.00150        
-0.19337        -0.19500        0.00163        
-0.27172        -0.27406        0.00234        
0.27994         0.30704         0.02710        
-0.10802        -0.11035        0.00233        
0.34519         0.32461         0.02058        
-0.03844        -0.03453        0.00391        
0.27730         0.27623         0.00107        
-0.03844        -0.03453        0.00391        
0.27730         0.27623         0.00107        
0.03844         0.03453         0.00391        
-0.27730        -0.27623        0.00107        
0.03844         0.03453         0.00391        
-0.27730        -0.27623        0.00107        
-0.02316        -0.01951        0.00365        
0.31076         0.31162         0.00086        
0.01101         0.01150         0.00049        
0.22188         0.22337         0.00149        
0.03334         0.02700         0.00634        
-0.34908        -0.34868        0.00040        
0.07330         0.06957         0.00373        
-0.27806        -0.27487        0.00319        
-0.07319        -0.07074        0.00245        
0.24121         0.23977         0.00144        
-0.16213        -0.16305        0.00091        
0.25350         0.24839         0.00511        
0.24318         0.24750         0.00432        
-0.32470        -0.32433        0.00037        
-0.00613        -0.00707        0.00094        
-0.17174        -0.17048        0.00126        
-0.12402        -0.11705        0.00697        
0.12741         0.12409         0.00331        
-0.23830        -0.23422        0.00408        
0.15654         0.14831         0.00823        
-0.08290        -0.08137        0.00154        
-0.07317        -0.07404        0.00087        
0.31872         0.32312         0.00440        
-0.08427        -0.08885        0.00457        
0.12364         0.13373         0.01010        
0.53741         0.54721         0.00980        
-0.18803        -0.19229        0.00426        
0.09108         0.08518         0.00590        
-0.07406        -0.07624        0.00218        
-0.18046        -0.18213        0.00166        
0.02793         0.02218         0.00574        
-0.33750        -0.33765        0.00015        
-0.02207        -0.02386        0.00179        
0.15542         0.14968         0.00573        
-0.02207        -0.02386        0.00179        
0.15542         0.14968         0.00573        
0.02207         0.02386         0.00179        
-0.15542        -0.14968        0.00573        
0.02207         0.02386         0.00179        
-0.15542        -0.14968        0.00573        
0.04756         0.04635         0.00122        
0.15341         0.15040         0.00300        
0.02864         0.02768         0.00096        
0.14582         0.14064         0.00518        
-0.01298        -0.01116        0.00182        
-0.18990        -0.18785        0.00205        
0.02316         0.02473         0.00157        
-0.19571        -0.19079        0.00492        
0.03275         0.03138         0.00137        
0.13761         0.13049         0.00712        
0.06446         0.06223         0.00223        
0.24569         0.23954         0.00615        
-0.09968        -0.09543        0.00425        
-0.21936        -0.22744        0.00809        
0.15395         0.16142         0.00747        
-0.31542        -0.30218        0.01324        
-0.01062        -0.01206        0.00144        
0.00253         0.00040         0.00214        
-0.01262        -0.02115        0.00853        
0.40821         0.40773         0.00048        
-0.03452        -0.03300        0.00152        
0.00104         0.00289         0.00184        
-0.04592        -0.04060        0.00532        
